station_code,official_station_name,valid_from,valid_to,station_type,data_rank,latitude,longitude,elevation_m,metadata_status,source_url,source_retrieved_at
350170530,OPOLE,1966-01-01,1990-05-28,synoptyczna,synop,50.6666667,17.96666667,176,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350170530,OPOLE,1990-05-29,,synoptyczna,synop,50.6269444,17.96888889,163,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350180540,RACIBÓRZ,1951-01-01,1965-12-31,synoptyczna,klimat,50.0833333,18.21666667,190,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350180540,RACIBÓRZ,1966-01-01,2002-06-24,synoptyczna,synop,50.0833333,18.21666667,190,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350180540,RACIBÓRZ,2002-06-25,,synoptyczna,synop,50.0611111,18.19083333,206,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190550,CZĘSTOCHOWA,1951-01-01,1957-08-12,synoptyczna,klimat,50.8,19.1,261,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190550,CZĘSTOCHOWA,1957-08-13,1965-12-31,synoptyczna,klimat,50.8,19.1,261,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190550,CZĘSTOCHOWA,1966-01-01,1969-11-04,synoptyczna,synop,50.8,19.1,261,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190550,CZĘSTOCHOWA,1969-11-05,1993-12-31,synoptyczna,synop,50.8119444,19.09166667,293,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190550,CZĘSTOCHOWA,1994-01-01,1998-05-31,synoptyczna,klimat,50.8119444,19.09166667,293,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190550,CZĘSTOCHOWA,1998-06-01,,synoptyczna,synop,50.8119444,19.09166667,293,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190560,KATOWICE,1951-01-01,1965-12-31,synoptyczna,klimat,50.2413889,19.03222222,281,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190560,KATOWICE,1966-01-01,2007-10-15,synoptyczna,synop,50.2413889,19.03222222,281,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190560,KATOWICE,2007-10-16,,synoptyczna,synop,50.2405556,19.03277778,278,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190566,KRAKÓW-RAKOWICE,1951-01-01,1957-08-31,synoptyczna,klimat,50.0833333,19.98333333,215,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190566,KRAKÓW-CZYŻYNY,1957-09-01,1964-06-30,synoptyczna,klimat,50.0833333,20.01666667,213,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190566,KRAKÓW-BALICE,1964-07-01,1965-12-31,synoptyczna,klimat,50.0777778,19.795,236,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350190566,KRAKÓW-BALICE,1966-01-01,,synoptyczna,synop,50.0777778,19.795,236,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350200570,KIELCE,1951-01-01,1953-01-08,synoptyczna,klimat,50.85,20.61666667,268,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350200570,KIELCE,1953-01-09,1965-12-31,synoptyczna,klimat,50.85,20.61666667,268,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350200570,KIELCE,1966-01-01,1974-04-30,synoptyczna,synop,50.85,20.61666667,268,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350200570,KIELCE-SUKÓW,1974-05-01,,synoptyczna,synop,50.8105556,20.69222222,260,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350200575,TARNÓW,1951-01-01,1965-12-31,synoptyczna,klimat,50.03,20.98388889,210,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350200575,TARNÓW,1966-01-01,,synoptyczna,synop,50.03,20.98388889,210,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350210585,SANDOMIERZ,1951-01-01,1965-12-31,synoptyczna,klimat,50.6833333,21.75,202,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350210585,SANDOMIERZ,1966-01-01,1972-08-31,synoptyczna,synop,50.6833333,21.75,202,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350210585,SANDOMIERZ,1972-09-01,,synoptyczna,synop,50.6966667,21.71583333,217,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350220580,RZESZÓW-JASIONKA,1952-01-01,1965-12-31,synoptyczna,klimat,50.1,22.05,195,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350220580,RZESZÓW-JASIONKA,1966-01-01,2001-10-12,synoptyczna,synop,50.1,22.05,195,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350220580,RZESZÓW-JASIONKA,2001-10-13,2012-06-29,synoptyczna,synop,50.1113889,22.02,211,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350220580,RZESZÓW-JASIONKA,2012-06-30,2016-06-29,synoptyczna,synop,50.1105556,22.02027778,211,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350220580,RZESZÓW-JASIONKA,2016-06-30,,synoptyczna,synop,50.1108333,22.04222222,206,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350230595,ZAMOŚĆ,1951-01-01,1963-08-14,synoptyczna,klimat,50.7333333,23.26666667,219,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350230595,ZAMOŚĆ,1963-08-15,1965-12-31,synoptyczna,klimat,50.7,23.25,212,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350230595,ZAMOŚĆ,1966-01-01,2000-07-31,synoptyczna,synop,50.7,23.25,212,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350230595,ZAMOŚĆ,2000-08-01,2012-09-27,synoptyczna,,50.6977778,23.20638889,222,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350230595,ZAMOŚĆ,2012-09-28,2015-02-28,synoptyczna,,50.6983333,23.20555556,223,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350230595,ZAMOŚĆ,2015-03-01,,synoptyczna,synop,50.6983333,23.20555556,223,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351150400,ZIELONA GÓRA,1951-01-01,1957-06-12,synoptyczna,klimat,51.9333333,15.51666667,176,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351150400,ZIELONA GÓRA,1957-06-13,1965-12-31,synoptyczna,klimat,51.9333333,15.51666667,180,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351150400,ZIELONA GÓRA,1966-01-01,1975-11-09,synoptyczna,synop,51.9333333,15.51666667,180,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351150400,ZIELONA GÓRA,1975-11-10,,synoptyczna,synop,51.93,15.52472222,192,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351150405,ZGORZELEC,1951-01-01,1962-10-17,synoptyczna,klimat,51.1833333,14.98333333,219,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351150405,ZGORZELEC,1962-10-18,1962-12-30,synoptyczna,klimat,51.135,15.02694444,203,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351150405,,1962-12-31,2007-12-31,,,,,,unavailable,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351150405,ZGORZELEC,2008-01-01,2008-07-07,synoptyczna,synop,51.135,15.02694444,203,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351150405,ZGORZELEC,2008-07-08,2010-11-01,synoptyczna,synop,51.1361111,15.02527778,203,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351150405,ZGORZELEC,2010-11-02,,synoptyczna,,51.1361111,15.02527778,203,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351160415,LEGNICA,1951-01-01,1965-12-31,synoptyczna,klimat,51.2166667,16.16666667,121,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351160415,LEGNICA,1966-01-01,1974-04-30,synoptyczna,synop,51.2166667,16.16666667,121,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351160415,LEGNICA,1974-05-01,,synoptyczna,synop,51.1925,16.20777778,123,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351160418,LESZNO,1958-01-01,1958-05-31,klimatologiczna,klimat,51.8355556,16.53472222,91,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351160418,LESZNO,1958-06-01,1965-12-31,synoptyczna,klimat,51.8355556,16.53472222,91,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351160418,LESZNO,1966-01-01,,synoptyczna,synop,51.8355556,16.53472222,91,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351160424,WROCŁAW,1951-01-01,1962-11-30,synoptyczna,klimat,51.1333333,16.98333333,116,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351160424,WROCŁAW-STRACHOWICE,1962-12-01,1965-12-31,synoptyczna,klimat,51.1033333,16.9,120,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351160424,WROCŁAW-STRACHOWICE,1966-01-01,,synoptyczna,synop,51.1033333,16.9,120,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351180435,KALISZ,1951-01-01,1965-12-31,synoptyczna,klimat,51.7333333,18.08333333,140,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351180435,KALISZ,1966-01-01,1985-10-30,synoptyczna,synop,51.7333333,18.08333333,140,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351180435,KALISZ,1985-10-31,,synoptyczna,synop,51.7811111,18.08083333,138,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351180455,WIELUŃ,1951-01-01,1965-12-31,synoptyczna,klimat,51.2166667,18.58333333,195,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351180455,WIELUŃ,1966-01-01,1981-03-25,synoptyczna,synop,51.2166667,18.58333333,195,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351180455,WIELUŃ,1981-03-26,,synoptyczna,synop,51.2102778,18.55666667,199,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351190465,ŁÓDŹ,1951-01-01,1952-06-13,synoptyczna,klimat,51.7666667,19.35,176,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351190465,ŁÓDŹ,1952-06-14,1965-12-31,synoptyczna,klimat,51.7272222,19.40222222,187,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351190465,ŁÓDŹ,1966-01-01,2005-11-16,synoptyczna,synop,51.7272222,19.40222222,187,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351190465,ŁÓDŹ,2005-11-17,2015-02-17,synoptyczna,synop,51.7233333,19.39972222,180,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351190465,ŁÓDŹ,2015-02-18,,synoptyczna,synop,51.7183333,19.38722222,174,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351190469,SULEJÓW,1961-04-08,1965-12-31,klimatologiczna,klimat,51.35,19.86666667,188,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351190469,SULEJÓW,1966-01-01,1966-06-29,synoptyczna,synop,51.35,19.86666667,188,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351190469,SULEJÓW,1966-06-30,,synoptyczna,synop,51.3533333,19.86638889,188,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351210488,ŚWIERŻE GÓRNE,1977-01-01,1981-03-25,synoptyczna,synop,51.6666667,21.46666667,110,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351210488,KOZIENICE,1981-03-26,,synoptyczna,synop,51.5647222,21.54361111,123,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351220495,LUBLIN,1951-01-01,1965-12-31,synoptyczna,klimat,51.2333333,22.56666667,171,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351220495,LUBLIN,1966-01-01,1973-04-30,synoptyczna,synop,51.2333333,22.56666667,171,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351220495,LUBLIN-RADAWIEC,1973-05-01,,synoptyczna,synop,51.2166667,22.39305556,238,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351230497,WŁODAWA,1951-01-01,1954-04-06,klimatologiczna,klimat,51.55,23.55,177,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351230497,WŁODAWA,1954-04-07,1960-12-06,synoptyczna,klimat,51.55,23.55,174,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351230497,WŁODAWA,1960-12-07,1965-12-31,synoptyczna,klimat,51.55,23.55,175,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351230497,WŁODAWA,1966-01-01,1977-11-15,synoptyczna,synop,51.55,23.55,175,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
351230497,WŁODAWA,1977-11-16,,synoptyczna,synop,51.5533333,23.52944444,177,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352140310,SŁUBICE,1951-01-01,1965-12-31,synoptyczna,klimat,52.3486111,14.59388889,21,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352140310,SŁUBICE,1966-01-01,2011-02-28,synoptyczna,synop,52.3486111,14.59388889,21,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352140310,SŁUBICE,2011-03-01,,synoptyczna,synop,52.3486111,14.61972222,53,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352150300,GORZÓW WIELKOPOLSKI,1951-01-01,1954-04-30,synoptyczna,klimat,52.7333333,15.25,47,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352150300,GORZÓW WIELKOPOLSKI,1954-05-01,1965-12-31,synoptyczna,klimat,52.7333333,15.25,65,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352150300,GORZÓW WIELKOPOLSKI,1966-01-01,1974-11-20,synoptyczna,synop,52.7333333,15.25,65,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352150300,GORZÓW WIELKOPOLSKI,1974-11-21,,synoptyczna,synop,52.7411111,15.27722222,71,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352160330,POZNAŃ,1951-01-01,1965-12-31,synoptyczna,klimat,52.4166667,16.85,86,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352160330,POZNAŃ,1966-01-01,1984-04-16,synoptyczna,synop,52.4166667,16.85,86,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352160330,POZNAŃ,1984-04-17,1999-10-27,synoptyczna,synop,52.4166667,16.85,83,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352160330,POZNAŃ,1999-10-28,,synoptyczna,synop,52.4166667,16.83472222,88,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352180345,KOŁO,1951-01-01,1965-12-31,synoptyczna,klimat,52.2,18.63333333,95,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352180345,KOŁO,1966-01-01,1968-10-31,synoptyczna,synop,52.2,18.63333333,95,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352180345,KOŁO,1968-11-01,2009-11-09,synoptyczna,synop,52.2002778,18.66138889,115,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352180345,KOŁO,2009-11-10,2020-12-28,synoptyczna,synop,52.1997222,18.66027778,115,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352180345,KOŁO-RADOSZEWICE,2020-12-29,2020-12-31,synoptyczna,synop,52.3619444,18.70611111,109,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352180345,KOŁO-RADOSZEWICE,2021-01-01,2021-01-01,synoptyczna,,52.3619444,18.70611111,109,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352180345,,2021-01-02,,,,,,,unavailable,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352190360,PŁOCK,1951-01-01,1965-12-31,synoptyczna,klimat,52.5333333,19.66666667,63,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352190360,PŁOCK,1966-01-01,1978-01-23,synoptyczna,synop,52.5333333,19.66666667,63,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352190360,PŁOCK,1978-01-24,,synoptyczna,synop,52.5883333,19.72583333,106,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352200375,WARSZAWA,1951-01-01,1955-03-31,synoptyczna,klimat,52.1833333,20.96666667,107,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352200375,WARSZAWA,1955-04-01,1962-10-23,synoptyczna,klimat,52.15,20.98333333,106,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352200375,WARSZAWA,1962-10-24,1965-12-31,synoptyczna,klimat,52.1627778,20.96111111,106,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352200375,WARSZAWA,1966-01-01,,synoptyczna,synop,52.1627778,20.96111111,106,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352220385,SIEDLCE,1951-01-01,1953-04-28,synoptyczna,klimat,52.1833333,22.26666667,147,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352220385,SIEDLCE,1953-04-29,1965-12-31,synoptyczna,klimat,52.1833333,22.26666667,146,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352220385,SIEDLCE,1966-01-01,1982-12-28,synoptyczna,synop,52.1833333,22.26666667,146,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352220385,SIEDLCE,1982-12-29,,synoptyczna,synop,52.1811111,22.24472222,152,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352230399,TERESPOL,1955-01-01,1955-11-30,klimatologiczna,klimat,52.0833333,23.61666667,143,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352230399,TERESPOL,1955-12-01,1965-12-31,synoptyczna,klimat,52.0833333,23.61666667,143,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352230399,TERESPOL,1966-01-01,1968-07-14,synoptyczna,synop,52.0833333,23.61666667,143,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
352230399,TERESPOL,1968-07-15,,synoptyczna,synop,52.0786111,23.62194444,133,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353140200,ŚWINOUJŚCIE,1951-01-01,1959-09-01,synoptyczna,klimat,53.9166667,14.23333333,2,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353140200,ŚWINOUJŚCIE,1959-09-02,1965-12-31,synoptyczna,klimat,53.9227778,14.24111111,6,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353140200,ŚWINOUJŚCIE,1966-01-01,2009-07-02,synoptyczna,synop,53.9227778,14.24111111,6,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353140200,ŚWINOUJŚCIE,2009-07-03,,synoptyczna,synop,53.9233333,14.24222222,4,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353140205,SZCZECIN,1951-01-01,1965-12-31,synoptyczna,klimat,53.3952778,14.62277778,1,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353140205,SZCZECIN,1966-01-01,,synoptyczna,synop,53.3952778,14.62277778,1,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353150210,RESKO,1951-01-01,1965-12-31,synoptyczna,klimat,53.7716667,15.41472222,52,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353150210,RESKO,1966-01-01,2015-01-01,synoptyczna,synop,53.7716667,15.41472222,52,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353150210,RESKO-SMÓLSKO,2015-01-02,2018-10-14,synoptyczna,opad,53.7636111,15.39333333,52,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353150210,RESKO-SMÓLSKO,2018-10-15,,synoptyczna,synop,53.7636111,15.39333333,52,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353160215,SZCZECINEK,1951-01-01,1965-12-31,synoptyczna,klimat,53.7166667,16.68333333,137,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353160215,SZCZECINEK,1966-01-01,2000-03-30,synoptyczna,synop,53.7166667,16.68333333,137,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353160215,SZCZECINEK,2000-03-31,2000-04-30,synoptyczna,synop,53.7177778,16.74666667,139,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353160215,SZCZECINEK,2000-05-01,2000-05-01,synoptyczna,,53.7177778,16.74666667,139,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353160215,,2000-05-02,,,,,,,unavailable,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353160230,PIŁA,1970-10-12,,synoptyczna,synop,53.1305556,16.74722222,72,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353170235,CHOJNICE,1951-01-01,1965-12-31,synoptyczna,klimat,53.7,17.55,173,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353170235,CHOJNICE,1966-01-01,1990-01-04,synoptyczna,synop,53.7,17.55,173,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353170235,CHOJNICE,1990-01-05,1992-01-09,synoptyczna,synop,53.7166667,17.53333333,165,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353170235,CHOJNICE,1992-01-10,,synoptyczna,synop,53.7152778,17.5325,164,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353170240,BYDGOSZCZ,1951-01-01,1965-12-31,synoptyczna,klimat,53.1,17.93333333,70,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353170240,BYDGOSZCZ,1966-01-01,1982-07-31,synoptyczna,synop,53.1,17.96666667,72,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
353170240,BYDGOSZCZ,1982-08-01,1982-08-01,synoptyczna,,53.1,17.96666667,72,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
